ID,Titulo,Artista,Idioma,Categoria,Imagen_URL,Enlace_Letra,Cancion_Original
1,Abba Mamma Mia Español,,ES,General,,https://genius.com/search?q=ABBA%20MAMMA%20MIA%20ESPA%C3%91OL,ABBA MAMMA MIA ESPAÑOL
2,Abraham Mateo Ft Channel Clavaito,,ES,General,,https://genius.com/search?q=ABRAHAM%20MATEO%20FT%20CHANNEL%20CLAVAITO,ABRAHAM MATEO FT CHANNEL CLAVAITO
3,Abraham Mateo Maniaca,,ES,General,,https://genius.com/search?q=ABRAHAM%20MATEO%20MANIACA,ABRAHAM MATEO MANIACA
4,Las Babys,Aitana,ES,General,,https://genius.com/search?q=AITANA%20LAS%20BABYS,AITANA LAS BABYS
5,Popcorn,Aitana,ES,General,,https://genius.com/search?q=AITANA%20POPCORN,AITANA POPCORN
6,& Cali Y El Dandee Menos Mas,Aitana,ES,General,,https://genius.com/search?q=AITANA%20%26%20CALI%20Y%20EL%20DANDEE%20MENOS%20MAS,AITANA & CALI Y EL DANDEE MENOS MAS
7,& Nicky Nicole Formentera,Aitana,ES,General,,https://genius.com/search?q=AITANA%20%26%20NICKY%20NICOLE%20FORMENTERA,AITANA & NICKY NICOLE FORMENTERA
8,Lo Bueno,Aitana,ES,General,,https://genius.com/search?q=AITANA%20LO%20BUENO,AITANA LO BUENO
9,Mandame Un Audio,Aitana,ES,General,,https://genius.com/search?q=AITANA%20MANDAME%20UN%20AUDIO,AITANA MANDAME UN AUDIO
10,Me Quedo,Aitana,ES,General,,https://genius.com/search?q=AITANA%20ME%20QUEDO,AITANA ME QUEDO
11,Telefono,Aitana,ES,General,,https://genius.com/search?q=AITANA%20TELEFONO,AITANA TELEFONO
12,Vas A Quedarte,Aitana,ES,General,,https://genius.com/search?q=AITANA%20VAS%20A%20QUEDARTE,AITANA VAS A QUEDARTE
13,Y Ana Guerra Lo Malo,Aitana,ES,General,,https://genius.com/search?q=AITANA%20Y%20ANA%20GUERRA%20LO%20MALO,AITANA Y ANA GUERRA LO MALO
14,A Quien Le Importa,Alaska,ES,General,,https://genius.com/search?q=ALASKA%20A%20QUIEN%20LE%20IMPORTA,ALASKA A QUIEN LE IMPORTA
15,Bailando,Alaska,ES,General,,https://genius.com/search?q=ALASKA%20BAILANDO,ALASKA BAILANDO
